Compound,SampID,ID,type,replicate,Condition_B12,Condition_TOD,Condition_Culture,Cells_on_Filter,Cell_Volume_um3,Smp_Biovolume_um3,Smp_Biovolume_L,PeakArea,nM_in_vial,nmoles_in_vial,nmole_per_cell,nmole_per_biovolume_L,min.area.flag,blk.ratio.flag
Me-B12,241121_Smp_UCYNA_Z-2,Z-2,filter blank,B,NA,NA,NA,NA,NA,NA,NA,542,3.9407098943546374e-4,1.576283957741855e-7,NA,NA,Flag,Flag
Me-B12,241121_Smp_UCYNA_Z-4,Z-4,filter blank,A,plus_B12,Day,NA,NA,NA,NA,NA,1460,0.0010615196394387,4.2460785577548e-7,NA,NA,Flag,Flag
Me-B12,241121_Smp_UCYNA_Z-7,Z-7,filter blank,A,plus_B12,Night,NA,NA,NA,NA,NA,22,1.5995501416199636e-5,6.398200566479854e-9,NA,NA,Flag,Flag
Me-B12,241121_Smp_UCYNA_Z-12,Z-12,filter blank,C,minus_B12,Day,NA,NA,NA,NA,NA,617,4.4860110789978066e-4,1.7944044315991227e-7,NA,NA,Flag,Flag
Me-B12,241121_Smp_UCYNA_Z-13,Z-13,filter blank,A,minus_B12,Night,NA,NA,NA,NA,NA,1142,8.303119371499992e-4,3.321247748599997e-7,NA,NA,Flag,Flag
Me-B12,241121_Smp_UCYNA_Z-17,Z-17,filter blank,B,NA,NA,NA,NA,NA,NA,NA,473,3.4390328044829214e-4,1.3756131217931687e-7,NA,NA,Flag,Flag
Me-B12,241121_Smp_UCYNA_Z-19,Z-19,culture,A,plus_B12,Day,Culture,3660000,175,640500000,6.405e-7,401937,0.2922356296692288,1.1689425186769151e-4,3.1938320182429373e-11,182.50468675673926,NA,NA
Me-B12,241121_Smp_UCYNA_Z-20,Z-20,culture,B,plus_B12,Day,Culture,3620000,175,633500000,6.335e-7,317765,0.23103684125084897,9.241473650033958e-5,2.552893273490044e-11,145.8796156280025,NA,NA
Me-B12,241121_Smp_UCYNA_Z-21,Z-21,culture,C,plus_B12,Day,Culture,4040000,175,707000000,7.07e-7,1127,8.194059134571358e-4,3.277623653828543e-7,8.112929836209265e-14,0.4635959906405295,Flag,Flag
Me-B12,241121_Smp_UCYNA_Z-22,Z-22,culture,A,plus_B12,Night,Culture,2840000,175,497000000,4.97e-7,880648,0.6402911968715171,2.5611647874860686e-4,9.018185871429819e-11,515.3249069388469,NA,NA
Me-B12,241121_Smp_UCYNA_Z-23,Z-23,culture,B,plus_B12,Night,Culture,2740000,175,479500000,4.795e-7,918377,0.6677227547320533,2.6708910189282136e-4,9.747777441343846e-11,557.0158537910769,NA,NA
Me-B12,241121_Smp_UCYNA_Z-24,Z-24,culture,C,plus_B12,Night,Culture,3120000,175,546000000,5.46e-7,829908,0.6033997540597912,2.4135990162391647e-4,7.735894282817835e-11,442.0511018753048,NA,NA
Me-B12,241121_Smp_UCYNA_Z-25,Z-25,UCYN-A,A,plus_B12,Day,UCYN-A,8474000,15,127110000,1.2711e-7,1130,8.215871181957086e-4,3.286348472782834e-7,3.878154912417789e-14,2.585436608278526,Flag,Flag
Me-B12,241121_Smp_UCYNA_Z-26,Z-26,UCYN-A,B,plus_B12,Day,UCYN-A,17385000,15,260775000,2.60775e-7,367,2.6683404635205753e-4,1.0673361854082302e-7,6.1394086017154454e-15,0.40929390678102967,Flag,Flag
Me-B12,241121_Smp_UCYNA_Z-27,Z-27,UCYN-A,C,plus_B12,Day,UCYN-A,9063000,15,135945000,1.35945e-7,119,8.652112129671621e-5,3.460844851868648e-8,3.8186526005391684e-15,0.25457684003594455,Flag,Flag
Me-B12,241121_Smp_UCYNA_Z-28,Z-28,UCYN-A,A,plus_B12,Night,UCYN-A,15513500,15,232702500,2.327025e-7,829,6.027395760922499e-4,2.4109583043689993e-7,1.5541033966345436e-14,1.0360689310896958,Flag,Flag
Me-B12,241121_Smp_UCYNA_Z-29,Z-29,UCYN-A,B,plus_B12,Night,UCYN-A,14706000,15,220590000,2.2059e-7,774,5.627508225517508e-4,2.2510032902070032e-7,1.5306699919808263e-14,1.020446661320551,Flag,Flag
Me-B12,241121_Smp_UCYNA_Z-30,Z-30,UCYN-A,C,plus_B12,Night,UCYN-A,16444500,15,246667500,2.466675e-7,202376,0.1471411633911281,5.8856465356451236e-5,3.579097288239304e-12,238.60648588262026,NA,NA
Me-B12,241121_Smp_UCYNA_Z-31,Z-31,culture,A,minus_B12,Day,Culture,855000,175,149625000,1.49625e-7,239903,0.17442585346593367,6.977034138637348e-5,8.160273846359472e-11,466.30136264911266,NA,NA
Me-B12,241121_Smp_UCYNA_Z-32,Z-32,culture,B,minus_B12,Day,Culture,945000,175,165375000,1.65375e-7,254512,0.1850475934745364,7.401903738981456e-5,7.832702369292546e-11,447.5829925310026,NA,NA
Me-B12,241121_Smp_UCYNA_Z-33,Z-33,culture,C,minus_B12,Day,Culture,960000,175,168000000,1.68e-7,1774,0.00128981906874264,5.15927627497056e-7,5.374246119761e-13,3.0709977827205717,Flag,Flag
Me-B12,241121_Smp_UCYNA_Z-34,Z-34,culture,A,minus_B12,Night,Culture,690000,175,120750000,1.2075e-7,495975,0.36060767340452793,1.4424306936181117e-4,2.0904792661132054e-10,1194.5595806361175,NA,NA
Me-B12,241121_Smp_UCYNA_Z-35,Z-35,culture,B,minus_B12,Night,Culture,780000,175,136500000,1.365e-7,124159,0.09027206637881502,3.610882655152601e-5,4.629336737375129e-11,264.5335278500074,NA,NA
Me-B12,241121_Smp_UCYNA_Z-36,Z-36,culture,C,minus_B12,Night,Culture,855000,175,149625000,1.49625e-7,307939,0.22389266866377724,8.95570674655109e-5,1.0474510814679638e-10,598.5434751245508,NA,NA
Me-B12,241121_Smp_UCYNA_Z-37,Z-37,UCYN-A,A,minus_B12,Day,UCYN-A,8863500,15,132952500,1.329525e-7,557,4.0497701312832714e-4,1.6199080525133087e-7,1.8276166892461315e-14,1.2184111261640878,Flag,Flag
Me-B12,241121_Smp_UCYNA_Z-38,Z-38,UCYN-A,B,minus_B12,Day,UCYN-A,12958000,15,194370000,1.9437e-7,355,2.581092273977668e-4,1.0324369095910672e-7,7.967563741249167e-15,0.5311709160832778,Flag,Flag
Me-B12,241121_Smp_UCYNA_Z-39,Z-39,UCYN-A,C,minus_B12,Day,UCYN-A,9395500,15,140932500,1.409325e-7,725,5.27124478488397e-4,2.1084979139535882e-7,2.244157217767642e-14,1.4961048118450948,Flag,Flag
Me-B12,241121_Smp_UCYNA_Z-40,Z-40,UCYN-A,A,minus_B12,Night,UCYN-A,12407000,15,186105000,1.86105e-7,296,2.1521220087250415e-4,8.608488034900167e-8,6.9384122147982325e-15,0.4625608143198821,Flag,Flag
Me-B12,241121_Smp_UCYNA_Z-41,Z-41,UCYN-A,B,minus_B12,Night,UCYN-A,9690000,15,145350000,1.4535e-7,1376,0.0010004459067586601,4.00178362703464e-7,4.129807664638431e-14,2.7532051097589543,Flag,Flag
Me-B12,241121_Smp_UCYNA_Z-42,Z-42,UCYN-A,C,minus_B12,Night,UCYN-A,8654500,15,129817500,1.298175e-7,569,4.1370183208261786e-4,1.6548073283304714e-7,1.9120773335611202e-14,1.2747182223740803,Flag,Flag
Ado-B12,241121_Smp_UCYNA_Z-2,Z-2,filter blank,B,NA,NA,NA,NA,NA,NA,NA,108,1.4012638453142669e-4,5.6050553812570674e-8,NA,NA,Flag,Flag
Ado-B12,241121_Smp_UCYNA_Z-4,Z-4,filter blank,A,plus_B12,Day,NA,NA,NA,NA,NA,260,3.373412960941754e-4,1.3493651843767017e-7,NA,NA,Flag,Flag
Ado-B12,241121_Smp_UCYNA_Z-7,Z-7,filter blank,A,plus_B12,Night,NA,NA,NA,NA,NA,480,6.227839312507853e-4,2.491135725003141e-7,NA,NA,Flag,Flag
Ado-B12,241121_Smp_UCYNA_Z-12,Z-12,filter blank,C,minus_B12,Day,NA,NA,NA,NA,NA,97,1.258542527735962e-4,5.034170110943847e-8,NA,NA,Flag,Flag
Ado-B12,241121_Smp_UCYNA_Z-13,Z-13,filter blank,A,minus_B12,Night,NA,NA,NA,NA,NA,531,6.889547239461813e-4,2.7558188957847253e-7,NA,NA,Flag,Flag
Ado-B12,241121_Smp_UCYNA_Z-17,Z-17,filter blank,B,NA,NA,NA,NA,NA,NA,NA,332,4.307588857817932e-4,1.7230355431271726e-7,NA,NA,Flag,Flag
Ado-B12,241121_Smp_UCYNA_Z-19,Z-19,culture,A,plus_B12,Day,Culture,3660000,175,640500000,6.405e-7,350284,0.45448176369635435,1.8179270547854172e-4,4.9670138108891184e-11,283.8293606222353,NA,NA
Ado-B12,241121_Smp_UCYNA_Z-20,Z-20,culture,B,plus_B12,Day,Culture,3620000,175,633500000,6.335e-7,365094,0.473697242908488,1.894788971633952e-4,5.234223678546829e-11,299.09849591696167,NA,NA
Ado-B12,241121_Smp_UCYNA_Z-21,Z-21,culture,C,plus_B12,Day,Culture,4040000,175,707000000,7.07e-7,2388,0.00309835005797265,1.2393400231890598e-6,3.0676733247253956e-13,1.752956185557369,Flag,NA
Ado-B12,241121_Smp_UCYNA_Z-22,Z-22,culture,A,plus_B12,Night,Culture,2840000,175,497000000,4.97e-7,584890,0.7588751948943163,3.035500779577265e-4,1.0688383026680511e-10,610.7647443817435,NA,NA
Ado-B12,241121_Smp_UCYNA_Z-23,Z-23,culture,B,plus_B12,Night,Culture,2740000,175,479500000,4.795e-7,699136,0.9071055553311438,3.628422221324575e-4,1.3242416866148085e-10,756.709535208462,NA,NA
Ado-B12,241121_Smp_UCYNA_Z-24,Z-24,culture,C,plus_B12,Night,Culture,3120000,175,546000000,5.46e-7,546814,0.7094728595478478,2.837891438191391e-4,9.095805891639074e-11,519.7603366650899,NA,NA
Ado-B12,241121_Smp_UCYNA_Z-25,Z-25,UCYN-A,A,plus_B12,Day,UCYN-A,8474000,15,127110000,1.2711e-7,1224,0.0015880990246895,6.352396098758e-7,7.496337147460467e-14,4.997558098306977,Flag,NA
Ado-B12,241121_Smp_UCYNA_Z-26,Z-26,UCYN-A,B,plus_B12,Day,UCYN-A,17385000,15,260775000,2.60775e-7,1270,0.0016477824847677,6.5911299390708e-7,3.791274051809491e-14,2.527516034539661,Flag,NA
Ado-B12,241121_Smp_UCYNA_Z-27,Z-27,UCYN-A,C,plus_B12,Day,UCYN-A,9063000,15,135945000,1.35945e-7,568,7.369609853134293e-4,2.9478439412537173e-7,3.2526138599290715e-14,2.168409239952714,Flag,Flag
Ado-B12,241121_Smp_UCYNA_Z-28,Z-28,UCYN-A,A,plus_B12,Night,UCYN-A,15513500,15,232702500,2.327025e-7,12,1.5569598281269632e-5,6.227839312507853e-9,4.014464377805043e-16,0.026763095852033618,Flag,Flag
Ado-B12,241121_Smp_UCYNA_Z-29,Z-29,UCYN-A,B,plus_B12,Night,UCYN-A,14706000,15,220590000,2.2059e-7,280,3.632906265629581e-4,1.4531625062518325e-7,9.881425991104532e-15,0.6587617327403021,Flag,Flag
Ado-B12,241121_Smp_UCYNA_Z-30,Z-30,UCYN-A,C,plus_B12,Night,UCYN-A,16444500,15,246667500,2.466675e-7,595237,0.772300081012341,3.0892003240493644e-4,1.878561418133336e-11,1252.3742787555573,NA,NA
Ado-B12,241121_Smp_UCYNA_Z-31,Z-31,culture,A,minus_B12,Day,Culture,855000,175,149625000,1.49625e-7,617405,0.8010623189039399,3.204249275615759e-4,3.7476599714804204e-10,2141.5199837030973,NA,NA
Ado-B12,241121_Smp_UCYNA_Z-32,Z-32,culture,B,minus_B12,Day,Culture,945000,175,165375000,1.65375e-7,661143,0.8578109097061207,3.431243638824483e-4,3.6309456495497175e-10,2074.826085456981,NA,NA
Ado-B12,241121_Smp_UCYNA_Z-33,Z-33,culture,C,minus_B12,Day,Culture,960000,175,168000000,1.68e-7,3815,0.0049498347869203,1.97993391476812e-6,2.0624311612167916e-12,11.785320921238808,Flag,NA
Ado-B12,241121_Smp_UCYNA_Z-34,Z-34,culture,A,minus_B12,Night,Culture,690000,175,120750000,1.2075e-7,1278095,1.6582854762749426,6.633141905099771e-4,9.613249137825754e-10,5493.285221614718,NA,NA
Ado-B12,241121_Smp_UCYNA_Z-35,Z-35,culture,B,minus_B12,Night,Culture,780000,175,136500000,1.365e-7,898765,1.1661174999387751,4.6644699997551003e-4,5.98008974327577e-10,3417.1941390147254,NA,NA
Ado-B12,241121_Smp_UCYNA_Z-36,Z-36,culture,C,minus_B12,Night,Culture,855000,175,149625000,1.49625e-7,1079326,1.400389352877469,5.601557411509875e-4,6.55152913626886e-10,3743.730935010777,NA,NA
Ado-B12,241121_Smp_UCYNA_Z-37,Z-37,UCYN-A,A,minus_B12,Day,UCYN-A,8863500,15,132952500,1.329525e-7,1918,0.00248854079195626,9.95416316782504e-7,1.123051071001866e-13,7.487007140012441,Flag,NA
Ado-B12,241121_Smp_UCYNA_Z-38,Z-38,UCYN-A,B,minus_B12,Day,UCYN-A,12958000,15,194370000,1.9437e-7,1111,0.00144148530754088,5.765941230163521e-7,4.4497154114551017e-14,2.9664769409700673,Flag,NA
Ado-B12,241121_Smp_UCYNA_Z-39,Z-39,UCYN-A,C,minus_B12,Day,UCYN-A,9395500,15,140932500,1.409325e-7,884,0.00114696040672019,4.58784162688076e-7,4.8830201978402e-14,3.2553467985601334,Flag,Flag
Ado-B12,241121_Smp_UCYNA_Z-40,Z-40,UCYN-A,A,minus_B12,Night,UCYN-A,12407000,15,186105000,1.86105e-7,574,7.447457844540641e-4,2.978983137816256e-7,2.401050324668539e-14,1.6007002164456925,Flag,Flag
Ado-B12,241121_Smp_UCYNA_Z-41,Z-41,UCYN-A,B,minus_B12,Night,UCYN-A,9690000,15,145350000,1.4535e-7,434,5.631004711725851e-4,2.2524018846903403e-7,2.3244601493192366e-14,1.549640099546158,Flag,Flag
Ado-B12,241121_Smp_UCYNA_Z-42,Z-42,UCYN-A,C,minus_B12,Night,UCYN-A,8654500,15,129817500,1.298175e-7,258,3.347463630472971e-4,1.3389854521891883e-7,1.547155181915984e-14,1.0314367879439894,Flag,Flag
OH-B12,241121_Smp_UCYNA_Z-2,Z-2,filter blank,B,NA,NA,NA,NA,NA,NA,NA,273,2.1291901938598693e-4,8.516760775439477e-8,NA,NA,Flag,Flag
OH-B12,241121_Smp_UCYNA_Z-4,Z-4,filter blank,A,plus_B12,Day,NA,NA,NA,NA,NA,6169,0.00481134589960495,1.9245383598419803e-6,NA,NA,Flag,Flag
OH-B12,241121_Smp_UCYNA_Z-7,Z-7,filter blank,A,plus_B12,Night,NA,NA,NA,NA,NA,24475,0.01908861904568509,7.635447618274036e-6,NA,NA,Flag,NA
OH-B12,241121_Smp_UCYNA_Z-12,Z-12,filter blank,C,minus_B12,Day,NA,NA,NA,NA,NA,1421,0.00110827079321423,4.43308317285692e-7,NA,NA,Flag,Flag
OH-B12,241121_Smp_UCYNA_Z-13,Z-13,filter blank,A,minus_B12,Night,NA,NA,NA,NA,NA,58,4.523554258017305e-5,1.809421703206922e-8,NA,NA,Flag,Flag
OH-B12,241121_Smp_UCYNA_Z-17,Z-17,filter blank,B,NA,NA,NA,NA,NA,NA,NA,376,2.932511036231908e-4,1.1730044144927633e-7,NA,NA,Flag,Flag
OH-B12,241121_Smp_UCYNA_Z-19,Z-19,culture,A,plus_B12,Day,Culture,3660000,175,640500000,6.405e-7,1556096,1.213635290807534,4.8545411632301363e-4,1.3263773670027695e-10,757.9299240015825,NA,NA
OH-B12,241121_Smp_UCYNA_Z-20,Z-20,culture,B,plus_B12,Day,Culture,3620000,175,633500000,6.335e-7,1478563,1.1531655093787656,4.612662037515062e-4,1.2742160324627244e-10,728.1234471215569,NA,NA
OH-B12,241121_Smp_UCYNA_Z-21,Z-21,culture,C,plus_B12,Day,Culture,4040000,175,707000000,7.07e-7,272,2.1213909623805292e-4,8.485563849522116e-8,2.1003870914658704e-14,0.12002211951233545,Flag,Flag
OH-B12,241121_Smp_UCYNA_Z-22,Z-22,culture,A,plus_B12,Night,Culture,2840000,175,497000000,4.97e-7,1934374,1.5086630593617183,6.034652237446874e-4,2.1248775483967866e-10,1214.215741941021,NA,NA
OH-B12,241121_Smp_UCYNA_Z-23,Z-23,culture,B,plus_B12,Night,Culture,2740000,175,479500000,4.795e-7,1911265,1.4906398153361111,5.962559261344444e-4,2.1761165187388482e-10,1243.495153565056,NA,NA
OH-B12,241121_Smp_UCYNA_Z-24,Z-24,culture,C,plus_B12,Night,Culture,3120000,175,546000000,5.46e-7,1731486,1.3504260117236813,5.401704046894726e-4,1.7313153996457453e-10,989.3230855118544,NA,NA
OH-B12,241121_Smp_UCYNA_Z-25,Z-25,UCYN-A,A,plus_B12,Day,UCYN-A,8474000,15,127110000,1.2711e-7,4248,0.0033131135324237,1.32524541296948e-6,1.5638959322273779e-13,10.425972881515852,Flag,Flag
OH-B12,241121_Smp_UCYNA_Z-26,Z-26,UCYN-A,B,plus_B12,Day,UCYN-A,17385000,15,260775000,2.60775e-7,13671,0.01066232935540596,4.264931742162384e-6,2.453225045822481e-13,16.35483363881654,Flag,Flag
OH-B12,241121_Smp_UCYNA_Z-27,Z-27,UCYN-A,C,plus_B12,Day,UCYN-A,9063000,15,135945000,1.35945e-7,1470,0.001146487027463,4.585948109852e-7,5.0600773583272646e-14,3.3733849055515104,Flag,Flag
OH-B12,241121_Smp_UCYNA_Z-28,Z-28,UCYN-A,A,plus_B12,Night,UCYN-A,15513500,15,232702500,2.327025e-7,519,4.047801137777554e-4,1.6191204551110215e-7,1.043684826190751e-14,0.6957898841271672,Flag,Flag
OH-B12,241121_Smp_UCYNA_Z-29,Z-29,UCYN-A,B,plus_B12,Night,UCYN-A,14706000,15,220590000,2.2059e-7,1591,0.00124085772836302,4.96343091345208e-7,3.375106020299252e-14,2.2500706801995016,Flag,Flag
OH-B12,241121_Smp_UCYNA_Z-30,Z-30,UCYN-A,C,plus_B12,Night,UCYN-A,16444500,15,246667500,2.466675e-7,1005317,0.7840699993115833,3.136279997246333e-4,1.9071908524104306e-11,1271.4605682736205,NA,NA
OH-B12,241121_Smp_UCYNA_Z-31,Z-31,culture,A,minus_B12,Day,Culture,855000,175,149625000,1.49625e-7,1331448,1.0384271154704523,4.153708461881809e-4,4.858138551908549e-10,2776.0791725191707,NA,NA
OH-B12,241121_Smp_UCYNA_Z-32,Z-32,culture,B,minus_B12,Day,Culture,945000,175,165375000,1.65375e-7,1116224,0.8705689358795015,3.4822757435180055e-4,3.6849478767386304e-10,2105.6845009935028,NA,NA
OH-B12,241121_Smp_UCYNA_Z-33,Z-33,culture,C,minus_B12,Day,Culture,960000,175,168000000,1.68e-7,10685,0.00833347883567498,3.3333915342699923e-6,3.4722828481979085e-12,19.841616275416623,Flag,Flag
OH-B12,241121_Smp_UCYNA_Z-34,Z-34,culture,A,minus_B12,Night,Culture,690000,175,120750000,1.2075e-7,1499341,1.1693707525465389,4.6774830101861556e-4,6.778960884327762e-10,3873.6919339015785,NA,NA
OH-B12,241121_Smp_UCYNA_Z-35,Z-35,culture,B,minus_B12,Night,Culture,780000,175,136500000,1.365e-7,1339042,1.0443498518558634,4.177399407423454e-4,5.355640265927505e-10,3060.365866244288,NA,NA
OH-B12,241121_Smp_UCYNA_Z-36,Z-36,culture,C,minus_B12,Night,Culture,855000,175,149625000,1.49625e-7,1378531,1.07514823704463,4.30059294817852e-4,5.029933272723415e-10,2874.24758441338,NA,NA
OH-B12,241121_Smp_UCYNA_Z-37,Z-37,UCYN-A,A,minus_B12,Day,UCYN-A,8863500,15,132952500,1.329525e-7,49956,0.03896184077819181,1.5584736311276722e-5,1.7583049936567634e-12,117.22033291045089,NA,NA
OH-B12,241121_Smp_UCYNA_Z-38,Z-38,UCYN-A,B,minus_B12,Day,UCYN-A,12958000,15,194370000,1.9437e-7,28154,0.02195795630693434,8.783182522773736e-6,6.778193025755314e-13,45.18795350503542,Flag,NA
OH-B12,241121_Smp_UCYNA_Z-39,Z-39,UCYN-A,C,minus_B12,Day,UCYN-A,9395500,15,140932500,1.409325e-7,9195,0.00717139334525329,2.868557338101316e-6,3.0531183418671876e-13,20.354122279114584,Flag,Flag
OH-B12,241121_Smp_UCYNA_Z-40,Z-40,UCYN-A,A,minus_B12,Night,UCYN-A,12407000,15,186105000,1.86105e-7,24036,0.01874623278374206,7.498493113496823e-6,6.043760065686163e-13,40.29173377124109,Flag,NA
OH-B12,241121_Smp_UCYNA_Z-41,Z-41,UCYN-A,B,minus_B12,Night,UCYN-A,9690000,15,145350000,1.4535e-7,30188,0.02354431998983213,9.417727995932852e-6,9.719017539662387e-13,64.79345026441591,Flag,NA
